IndID;Ind;Rep;Day;Diameter;Species
Ftrif8.5-R3D0;85;R3;D0;2;Ftrif
Ftrif8.8-R1D0;88;R1;D0;2;Ftrif
Ftrif8.8-R2D0;88;R2;D0;2;Ftrif
Ftrif8.8-R3D0;88;R3;D0;2;Ftrif
Ftrif8.12-R1D0;812;R1;D0;2;Ftrif
Ftrif8.12-R2D0;812;R2;D0;2;Ftrif
Ftrif8.12-R3D0;812;R3;D0;2;Ftrif
UZ_2.23(3)-R1D0;23;R1;D0;2;Farun
UZ_2.23(3)-R2D0;23;R2;D0;2;Farun
UZ_2.23(3)-R3D0;23;R3;D0;2;Farun
UZ_2.23(4)-R1D0;24;R1;D0;2;Farun
UZ_2.23(4)-R2D0;24;R2;D0;2;Farun
UZ_2.23(4)-R3D0;24;R3;D0;2;Farun
UZ_2.23(6)-R1D0;26;R1;D0;2;Farun
UZ_2.23(6)-R2D0;26;R2;D0;2;Farun
UZ_2.23(6)-R3D0;26;R3;D0;2;Farun
UZ_7.23(4)-R1D2;74;R1;D2;4,73;Fyves
UZ_7.23(4)-R2D2;74;R2;D2;5,73;Fyves
UZ_7.23(4)-R3D2;74;R3;D2;5,4;Fyves
UZ_7.23(8)-R1D2;78;R1;D2;5,23;Fyves
UZ_7.23(8)-R2D2;78;R2;D2;5,63;Fyves
UZ_7.23(8)-R3D2;78;R3;D2;5,27;Fyves
UZ_7.23(11)-R1D2;711;R1;D2;4,97;Fyves
UZ_7.23(11)-R2D2;711;R2;D2;4,89;Fyves
UZ_7.23(11)-R3D2;711;R3;D2;4,92;Fyves
UZ_44.22(1)-R1D2;441;R1;D2;4,47;Fnigr
UZ_44.22(1)-R2D2;441;R2;D2;4,43;Fnigr
UZ_44.22(1)-R3D2;441;R3;D2;5,14;Fnigr
UZ_44.22(2)-R1D2;442;R1;D2;4,75;Fnigr
UZ_44.22(2)-R2D2;442;R2;D2;5,04;Fnigr
UZ_44.22(2)-R3D2;442;R3;D2;4,55;Fnigr
UZ_44.22(4)-R1D2;444;R1;D2;5,55;Fnigr
UZ_44.22(4)-R2D2;444;R2;D2;5,31;Fnigr
UZ_44.22(4)-R3D2;444;R3;D2;5,39;Fnigr
UZ_55.22(2)-R1D2;552;R1;D2;2,52;Fprui
UZ_55.22(2)-R2D2;552;R2;D2;3,62;Fprui
UZ_55.22(2)-R3D2;552;R3;D2;3,46;Fprui
UZ_55.22(3)-R1D2;553;R1;D2;3,7;Fprui
UZ_55.22(3)-R2D2;553;R2;D2;3,43;Fprui
UZ_55.22(3)-R3D2;553;R3;D2;3,73;Fprui
UZ_55.22(4)-R1D2;554;R1;D2;3,44;Fprui
UZ_55.22(4)-R2D2;554;R2;D2;3,87;Fprui
UZ_55.22(4)-R3D2;554;R3;D2;3,55;Fprui
UZ_9.23(4)-R1D2;94;R1;D2;5,33;Froth
UZ_9.23(4)-R2D2;94;R2;D2;5,21;Froth
UZ_9.23(4)-R3D2;94;R3;D2;5,52;Froth
UZ_15.23(10)-R1D2;1510;R1;D2;4,55;Froth
UZ_15.23(10)-R2D2;1510;R2;D2;4,4;Froth
UZ_15.23(10)-R3D2;1510;R3;D2;4,12;Froth
UZ_16.23(8)-R1D2;168;R1;D2;4,68;Froth
UZ_16.23(8)-R2D2;168;R2;D2;4,69;Froth
UZ_16.23(8)-R3D2;168;R3;D2;4,61;Froth
Ftrif8.5-R1D2;85;R1;D2;4,19;Ftrif
Ftrif8.5-R2D2;85;R2;D2;3,41;Ftrif
Ftrif8.5-R3D2;85;R3;D2;3,49;Ftrif
Ftrif8.8-R1D2;88;R1;D2;4,15;Ftrif
Ftrif8.8-R2D2;88;R2;D2;3,91;Ftrif
Ftrif8.8-R3D2;88;R3;D2;3,35;Ftrif
Ftrif8.12-R1D2;812;R1;D2;3,05;Ftrif
Ftrif8.12-R2D2;812;R2;D2;3,17;Ftrif
Ftrif8.12-R3D2;812;R3;D2;3,23;Ftrif
UZ_2.23(3)-R1D2;23;R1;D2;4,27;Farun
UZ_2.23(3)-R2D2;23;R2;D2;3,76;Farun
UZ_2.23(3)-R3D2;23;R3;D2;4,81;Farun
UZ_2.23(4)-R1D2;24;R1;D2;3,46;Farun
UZ_2.23(4)-R2D2;24;R2;D2;3,37;Farun
UZ_2.23(4)-R3D2;24;R3;D2;3,81;Farun
UZ_2.23(6)-R1D2;26;R1;D2;4,14;Farun
UZ_2.23(6)-R2D2;26;R2;D2;3,56;Farun
UZ_2.23(6)-R3D2;26;R3;D2;3,88;Farun
UZ_7.23(4)-R1D7;74;R1;D7;11,66;Fyves
UZ_7.23(4)-R2D7;74;R2;D7;12,41;Fyves
UZ_7.23(4)-R3D7;74;R3;D7;11,96;Fyves
UZ_7.23(8)-R1D7;78;R1;D7;14,96;Fyves
UZ_7.23(8)-R2D7;78;R2;D7;15,72;Fyves
UZ_7.23(8)-R3D7;78;R3;D7;15,8;Fyves
UZ_7.23(11)-R1D7;711;R1;D7;10,87;Fyves
UZ_7.23(11)-R2D7;711;R2;D7;10,56;Fyves
UZ_7.23(11)-R3D7;711;R3;D7;10,74;Fyves
UZ_44.22(1)-R1D7;441;R1;D7;14,02;Fnigr
UZ_44.22(1)-R2D7;441;R2;D7;14,58;Fnigr
UZ_44.22(1)-R3D7;441;R3;D7;15,23;Fnigr
UZ_44.22(2)-R1D7;442;R1;D7;12;Fnigr
UZ_44.22(2)-R2D7;442;R2;D7;11,65;Fnigr
UZ_44.22(2)-R3D7;442;R3;D7;12,91;Fnigr
UZ_44.22(4)-R1D7;444;R1;D7;15,81;Fnigr
UZ_44.22(4)-R2D7;444;R2;D7;16,62;Fnigr
UZ_44.22(4)-R3D7;444;R3;D7;15,81;Fnigr
UZ_55.22(2)-R1D7;552;R1;D7;6,36;Fprui
UZ_55.22(2)-R2D7;552;R2;D7;6,49;Fprui
UZ_55.22(2)-R3D7;552;R3;D7;6,94;Fprui
UZ_55.22(3)-R1D7;553;R1;D7;7,75;Fprui
UZ_55.22(3)-R2D7;553;R2;D7;7,43;Fprui
UZ_55.22(3)-R3D7;553;R3;D7;7,25;Fprui
UZ_55.22(4)-R1D7;554;R1;D7;7,4;Fprui
UZ_55.22(4)-R2D7;554;R2;D7;7,63;Fprui
UZ_55.22(4)-R3D7;554;R3;D7;7,5;Fprui
UZ_9.23(4)-R1D7;94;R1;D7;14,07;Froth
UZ_9.23(4)-R2D7;94;R2;D7;14,68;Froth
UZ_9.23(4)-R3D7;94;R3;D7;15,67;Froth
UZ_15.23(10)-R1D7;1510;R1;D7;10,42;Froth
UZ_15.23(10)-R2D7;1510;R2;D7;10,51;Froth
UZ_15.23(10)-R3D7;1510;R3;D7;10,96;Froth
UZ_16.23(8)-R1D7;168;R1;D7;11,46;Froth
UZ_16.23(8)-R2D7;168;R2;D7;11,43;Froth
UZ_16.23(8)-R3D7;168;R3;D7;11,21;Froth
Ftrif8.5-R1D7;85;R1;D7;7,19;Ftrif
Ftrif8.5-R2D7;85;R2;D7;5,2;Ftrif
Ftrif8.5-R3D7;85;R3;D7;5,59;Ftrif
Ftrif8.8-R1D7;88;R1;D7;5,53;Ftrif
Ftrif8.8-R2D7;88;R2;D7;5,97;Ftrif
Ftrif8.8-R3D7;88;R3;D7;5,65;Ftrif
Ftrif8.12-R1D7;812;R1;D7;5,54;Ftrif
Ftrif8.12-R2D7;812;R2;D7;5,47;Ftrif
Ftrif8.12-R3D7;812;R3;D7;5,15;Ftrif
UZ_2.23(3)-R1D7;23;R1;D7;5,92;Farun
UZ_2.23(3)-R2D7;23;R2;D7;5,39;Farun
UZ_2.23(3)-R3D7;23;R3;D7;5,48;Farun
UZ_2.23(4)-R1D7;24;R1;D7;4,84;Farun
UZ_2.23(4)-R2D7;24;R2;D7;4,99;Farun
UZ_2.23(4)-R3D7;24;R3;D7;4,82;Farun
UZ_2.23(6)-R1D7;26;R1;D7;5,09;Farun
UZ_2.23(6)-R2D7;26;R2;D7;5,58;Farun
UZ_2.23(6)-R3D7;26;R3;D7;6,06;Farun
UZ_7.23(4)-R1D14;74;R1;D14;24,44;Fyves
UZ_7.23(4)-R2D14;74;R2;D14;23,68;Fyves
UZ_7.23(4)-R3D14;74;R3;D14;24,21;Fyves
UZ_7.23(8)-R1D14;78;R1;D14;34,89;Fyves
UZ_7.23(8)-R2D14;78;R2;D14;34,69;Fyves
UZ_7.23(8)-R3D14;78;R3;D14;34,29;Fyves
UZ_7.23(11)-R1D14;711;R1;D14;21,97;Fyves
UZ_7.23(11)-R2D14;711;R2;D14;20,45;Fyves
UZ_7.23(11)-R3D14;711;R3;D14;21,43;Fyves
UZ_44.22(1)-R1D14;441;R1;D14;29,52;Fnigr
UZ_44.22(1)-R2D14;441;R2;D14;29,9;Fnigr
UZ_44.22(1)-R3D14;441;R3;D14;32,99;Fnigr
UZ_44.22(2)-R1D14;442;R1;D14;22,34;Fnigr
UZ_44.22(2)-R2D14;442;R2;D14;23,18;Fnigr
UZ_44.22(2)-R3D14;442;R3;D14;25,69;Fnigr
UZ_44.22(4)-R1D14;444;R1;D14;32,97;Fnigr
UZ_44.22(4)-R2D14;444;R2;D14;35,53;Fnigr
UZ_44.22(4)-R3D14;444;R3;D14;35,17;Fnigr
UZ_55.22(2)-R1D14;552;R1;D14;11,99;Fprui
UZ_55.22(2)-R2D14;552;R2;D14;13,54;Fprui
UZ_55.22(2)-R3D14;552;R3;D14;13,08;Fprui
UZ_55.22(3)-R1D14;553;R1;D14;12,83;Fprui
UZ_55.22(3)-R2D14;553;R2;D14;11,92;Fprui
UZ_55.22(3)-R3D14;553;R3;D14;14,43;Fprui
UZ_55.22(4)-R1D14;554;R1;D14;16,67;Fprui
UZ_55.22(4)-R2D14;554;R2;D14;17,79;Fprui
UZ_55.22(4)-R3D14;554;R3;D14;17,06;Fprui
UZ_9.23(4)-R1D14;94;R1;D14;29,97;Froth
UZ_9.23(4)-R2D14;94;R2;D14;30,57;Froth
UZ_9.23(4)-R3D14;94;R3;D14;30,84;Froth
UZ_15.23(10)-R1D14;1510;R1;D14;22,96;Froth
UZ_15.23(10)-R2D14;1510;R2;D14;24,28;Froth
UZ_15.23(10)-R3D14;1510;R3;D14;25,36;Froth
UZ_16.23(8)-R1D14;168;R1;D14;25,39;Froth
UZ_16.23(8)-R2D14;168;R2;D14;24,18;Froth
UZ_16.23(8)-R3D14;168;R3;D14;24,98;Froth
Ftrif8.5-R1D14;85;R1;D14;9,25;Ftrif
Ftrif8.5-R2D14;85;R2;D14;10,15;Ftrif
Ftrif8.5-R3D14;85;R3;D14;9,59;Ftrif
Ftrif8.8-R1D14;88;R1;D14;8,53;Ftrif
Ftrif8.8-R2D14;88;R2;D14;7,67;Ftrif
Ftrif8.8-R3D14;88;R3;D14;8,76;Ftrif
Ftrif8.12-R1D14;812;R1;D14;8,37;Ftrif
Ftrif8.12-R2D14;812;R2;D14;6,83;Ftrif
Ftrif8.12-R3D14;812;R3;D14;7,35;Ftrif
UZ_2.23(3)-R1D14;23;R1;D14;7,97;Farun
UZ_2.23(3)-R2D14;23;R2;D14;6,73;Farun
UZ_2.23(3)-R3D14;23;R3;D14;7,68;Farun
UZ_2.23(4)-R1D14;24;R1;D14;6,06;Farun
UZ_2.23(4)-R2D14;24;R2;D14;6,38;Farun
UZ_2.23(4)-R3D14;24;R3;D14;6,41;Farun
UZ_2.23(6)-R1D14;26;R1;D14;6,77;Farun
UZ_2.23(6)-R2D14;26;R2;D14;6,89;Farun
UZ_2.23(6)-R3D14;26;R3;D14;7,28;Farun
UZ_7.23(4)-R1D21;74;R1;D21;33,44;Fyves
UZ_7.23(4)-R2D21;74;R2;D21;34,29;Fyves
UZ_7.23(4)-R3D21;74;R3;D21;33,4;Fyves
UZ_7.23(8)-R1D21;78;R1;D21;46,84;Fyves
UZ_7.23(8)-R2D21;78;R2;D21;48,06;Fyves
UZ_7.23(8)-R3D21;78;R3;D21;47,53;Fyves
UZ_7.23(11)-R1D21;711;R1;D21;31,48;Fyves
UZ_7.23(11)-R2D21;711;R2;D21;30,3;Fyves
UZ_7.23(11)-R3D21;711;R3;D21;29,93;Fyves
UZ_44.22(1)-R1D21;441;R1;D21;44,17;Fnigr
UZ_44.22(1)-R2D21;441;R2;D21;45,66;Fnigr
UZ_44.22(1)-R3D21;441;R3;D21;50;Fnigr
UZ_44.22(2)-R1D21;442;R1;D21;34,44;Fnigr
UZ_44.22(2)-R2D21;442;R2;D21;36,19;Fnigr
UZ_44.22(2)-R3D21;442;R3;D21;35,23;Fnigr
UZ_44.22(4)-R1D21;444;R1;D21;47,39;Fnigr
UZ_44.22(4)-R2D21;444;R2;D21;50;Fnigr
UZ_44.22(4)-R3D21;444;R3;D21;50;Fnigr
UZ_55.22(2)-R1D21;552;R1;D21;18,25;Fprui
UZ_55.22(2)-R2D21;552;R2;D21;19,08;Fprui
UZ_55.22(2)-R3D21;552;R3;D21;19,23;Fprui
UZ_55.22(3)-R1D21;553;R1;D21;18,76;Fprui
UZ_55.22(3)-R2D21;553;R2;D21;17,9;Fprui
UZ_55.22(3)-R3D21;553;R3;D21;20,8;Fprui
UZ_55.22(4)-R1D21;554;R1;D21;21,84;Fprui
UZ_55.22(4)-R2D21;554;R2;D21;26,1;Fprui
UZ_55.22(4)-R3D21;554;R3;D21;25,55;Fprui
UZ_9.23(4)-R1D21;94;R1;D21;44,43;Froth
UZ_9.23(4)-R2D21;94;R2;D21;44,54;Froth
UZ_9.23(4)-R3D21;94;R3;D21;44,39;Froth
UZ_15.23(10)-R1D21;1510;R1;D21;32,62;Froth
UZ_15.23(10)-R2D21;1510;R2;D21;32,74;Froth
UZ_15.23(10)-R3D21;1510;R3;D21;35,07;Froth
UZ_16.23(8)-R1D21;168;R1;D21;37,17;Froth
UZ_16.23(8)-R2D21;168;R2;D21;37,14;Froth
UZ_16.23(8)-R3D21;168;R3;D21;36,79;Froth
Ftrif8.5-R1D21;85;R1;D21;11,82;Ftrif
Ftrif8.5-R2D21;85;R2;D21;13,07;Ftrif
Ftrif8.5-R3D21;85;R3;D21;12,06;Ftrif
Ftrif8.8-R1D21;88;R1;D21;10,62;Ftrif
Ftrif8.8-R2D21;88;R2;D21;9,93;Ftrif
Ftrif8.8-R3D21;88;R3;D21;10,19;Ftrif
Ftrif8.12-R1D21;812;R1;D21;11,27;Ftrif
Ftrif8.12-R2D21;812;R2;D21;9,46;Ftrif
Ftrif8.12-R3D21;812;R3;D21;9,1;Ftrif
UZ_2.23(3)-R1D21;23;R1;D21;10,09;Farun
UZ_2.23(3)-R2D21;23;R2;D21;10,39;Farun
UZ_2.23(3)-R3D21;23;R3;D21;9,61;Farun
UZ_2.23(4)-R1D21;24;R1;D21;7,91;Farun
UZ_2.23(4)-R2D21;24;R2;D21;8,26;Farun
UZ_2.23(4)-R3D21;24;R3;D21;7,84;Farun
UZ_2.23(6)-R1D21;26;R1;D21;8,76;Farun
UZ_2.23(6)-R2D21;26;R2;D21;8,49;Farun
UZ_2.23(6)-R3D21;26;R3;D21;9,19;Farun
